UID	11RosaH	12RosaH	14RosaF	16RosaF	17Rosa-	18Rosa-	8RosaH	9RosaH	CAG-14914	CAG-14915	CMP	GMP	Gfi1.Null	Irf8.Null	LSK
Marc1	0	0.286881148	0	0.201633861	0	0	0.214124805	0.214124805	0.150559677	0	0.389566812	0.310340121	0.150559677	0.263034406	0.111031312
March1	0.5360529	0.839959587	1.521050737	0.40053793	4.091699834	1.432959407	2.378511623	1.735522177	4.786073552	2.307428525	0.485426827	1.021479727	0.575312331	0.411426246	1.14404637
Marc2	6.060263599	6.103917211	6.001577085	6.098453246	5.475409193	5.460414939	5.883620816	5.965091625	5.471512648	5.859224162	6.508428653	6.452529545	6.391286558	6.786727035	6.506525779
March2	4.024142346	4.358958826	4.873813198	4.54225805	5.110196178	4.761817143	4.552745937	4.29130886	4.947198584	5.034303768	4.930264245	5.083638879	5.014355293	5.305240966	5.416839742
March3	1.201633861	0.925999419	0.50589093	0.963474124	0.941106311	0.815575429	0.389566812	0.773996325	0.992768431	0.895302621	0.739848103	0.632268215	0.321928095	0.584962501	2.153805336
March4	0.50589093	0.214124805	0.201633861	0.263034406	0.422233001	0.948600847	0.485426827	0.333423734	0	0.757023247	0	0.028569152	0	0.014355293	0
March5	5.167919866	5.311793718	4.998646839	5.04176865	4.921245889	4.73714592	5.315783575	5.146084939	5.526694846	5.212958363	5.578938713	5.594249948	5.54565954	5.055282436	6.088311236
March6	6.636769608	6.853122383	6.675110215	6.775709036	6.320123598	6.336997417	6.503030646	6.590811576	6.066304502	5.960697039	5.416839742	5.439955517	4.687060688	4.263785614	6.016139703
March7	4.188242656	4.139142019	3.930737338	3.992768431	4.415488271	4.507160349	3.871843649	3.956985925	4.321928095	4.64038956	4.961623328	5.22342255	4.393690764	3.90303827	5.93239194
March8	4.177917792	4.341274184	3.802193217	4.13093087	3.434294618	3.83491343	3.694880193	3.791814071	4.037382222	4.211012193	3.965322548	4.009884589	2.95419631	2.786596362	3.937344392
March9	0	0.111031312	0.286881148	0.411426246	0.150559677	0.333423734	0.23878686	0.124328135	0	1.09085343	0.097610797	0.176322773	0.632268215	0.189033824	2.763411574
March10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
March11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sept1	4.028569152	4.810957159	2.495695163	5.121015401	1.485426827	4.706530553	1.257010618	1.646162657	0	4.387500406	5.476381688	5.579843886	5.033863452	3.399171094	7.762149461
Sept2	7.541096615	7.333065878	7.332707934	7.236301267	7.348374075	6.826929766	7.626731151	7.644649454	7.73782194	7.039138394	7.107164756	7.147917191	7.054631449	6.328405659	7.041549645
Sept3	0.298658316	0.495695163	0.748461233	0.831877241	0.443606651	1.378511623	0.23878686	0.485426827	0.070389328	0.992768431	0.111031312	0.201633861	0.014355293	0	0.485426827
Sept4	0.378511623	0.963474124	1.5360529	1.077242999	0	0.86393845	0.189033824	0	0.443606651	0.344828497	0.411426246	0.333423734	0.344828497	0.214124805	2.965322548
Sept5	2.017921908	2.310340121	2.411426246	2.724650272	0.970853654	2.582556003	0	1.232660757	0.422233001	2.503348735	3.715893371	4.84899843	0.799087306	3.72900887	2.13093087
Sept6	5.070818638	4.827819025	4.401220862	4.90833257	3.759155834	4.862947248	4.280213996	4.467931546	3.918386234	4.835924074	5.297558281	5.246027981	4.617063344	4.565597176	7.00303998
Sept7	6.136478518	6.168922782	6.291493053	6.146084939	6.135863165	5.910732662	6.213152835	6.194559886	7.075425666	6.825404046	7.124224727	7.244791942	6.718498628	6.241077458	7.439041288
Sept8	2.839959587	3.650764559	1.560714954	3.698218478	2.204766751	3.292781749	2.063502942	1.608809243	2.198494154	3.602884409	2.077242999	1.989139007	1.182692298	0.443606651	4.794935663
Sept9	6.27668276	6.231701199	6.509854162	6.390082951	6.708049252	6.364572432	6.466953337	6.472000292	6.519793486	6.531069493	7.38145643	7.468094516	7.121119039	7.164906927	7.768250502
Sept10	1.411426246	0.378511623	2.173127433	0.443606651	3.243364426	1.454175893	2.615887074	1.744161096	3.192194165	2.634593268	1.992768431	2.485426827	4.067810784	2.648465443	2.080657663
