uid	GG1.69	GG1.70	GG1.71	GG1.72	GG1.73	GG1.74	GG1.75	GG1.76	GG1.77	GG1.78	GG1.79	GG1.80	GG1.81	GG1.82	GG1.83	GG1.84	GG1.85	GG1.86	GG1.87	GG1.88	GG1.89	GG1.90	GG1.91	GG1.92	GG1.93	GG1.94	GG1.95	GG1.96	GG1.R2.38	GG1.R2.39	GG1.R2.40	GG1.R2.41	GG1.R2.42	GG1.R2.43	GG1.R2.44	GG1.R2.45	GG1.R2.46	GG1.R2.47	GG1.R2.48
Marc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
March1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214124805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marc2	0	6.946262984	1.883620816	0	0	3.64038956	1.257010618	6.518062976	4.524815928	0	1.650764559	0	0	0	0	6.902797158	0	0.50589093	7.387328072	0	0	0	3.703765179	0	0	0.757023247	3.669026766	0	0	0	6.090641752	0	3.795974694	3.243364426	4.991408467	5.628481994	4.025028794	0	0.432959407
March2	0	0.650764559	0.545968369	3.553360503	0	0	0	0	0.367371066	0	0	0	0	0	0	0	0	0	9.021563009	3.833902077	0	3.460742564	7.850436904	0	0	0	0	0	0	0	0	0	0	0	2.996388746	0	0	0	0
March3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
March4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23878686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
March5	1.778208576	2.307428525	1.531069493	3.565597176	6.913607512	6.284847229	3.243364426	1.933572638	0.925999419	0	0.632268215	3.119356177	1.500802053	2.275007047	0	1.292781749	3.67468662	2.889473543	1.659924558	1.411426246	2.35614381	0.90303827	1.286881148	0.782408565	3.304511042	3.10433666	0.815575429	3.969012308	5.28281044	4.465321514	4.331991778	2.13093087	2.518535139	6.4264325	3.876762491	1.641546029	4.66618849	1.709290636	1.220329955
March6	0.150559677	0.163498732	0.475084883	7.967514481	0	0.286881148	7.129386063	0	1.66448284	0	0	0	0.124328135	0	0	6.236875245	0	0	4.583759754	0	1.049630768	2.981852653	6.895908465	2.596935142	0	0	2.192194165	0.495695163	0.831877241	0	0.286881148	0.321928095	0.214124805	3.861955364	4.473786912	1.879705766	0	2.032100843	6.099295204
March7	8.677613946	0	0	0	3.822730148	0	0	0	9.115693952	0	6.880073254	0	0	0	8.92552477	0	0	4.008092421	0.40053793	6.262282806	6.654779217	0	0	6.335032987	0	0	0	0	0	0	0	0	1.735522177	0	0	2.650764559	7.445759804	6.669593751	5.453517579
March8	0	0	5.403267722	0	0	0	0	0	0	0	0	0	9.026689419	0	0	0	0	0	0.815575429	4.621172753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.956056652	0	0	0	0
March9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
March10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
March11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sept1	8.342563634	0	0	0	0	6.078737909	4.43629512	0	5.373300197	0	5.58165253	8.420381341	0.495695163	7.129695157	0	7.175324989	7.697523639	6.21023299	7.204473331	0	5.276496666	4.800641097	3.08236197	0	4.761817143	3.952333566	7.416417543	7.178216662	0	5.393004257	6.619266268	4.414812061	4.879215637	0	0	7.772281579	6.022811651	5.320484678	3.772941338
