uid	IG2.1	IG2.2	IG2.3	IG2.4	IG2.5	IG2.6	IG2.7	IG2.8	IG2.9	IG2.10	IG2.11	IG2.12	IG2.13	IG2.14	IG2.15	IG2.16	IG2.17	IG2.18	IG2.19	IG2.20	IG2.21	IG2.22	IG2.23	IG2.24	IG2.25	IG2.26	IG2.27	IG2.28	IG2.29	IG2.30	IG2.31	IG2.32	IG2.33	IG2.34	IG2.35	IG2.36	IG2.37
Marc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
March1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marc2	0	7.280863545	0	4.614709844	3.769771739	1.304511042	5.169123281	2.526068812	3.763411574	0	6.180903709	0	0	0	5.621465834	6.04176865	0	0	0	6.370687407	0.695993813	1.097610797	2.298658316	5.450881315	1.650764559	0	0	2.678071905	0	0	6.805163453	7.425677492	0	3.957914599	0.432959407	0	0
March2	0	0	0	2.518535139	0	0	0	0	0	0	0	0	0	0	0	3.099295204	0	0	0	2.3305584	0	0	0	0	0	0	0	0	0	4.997292408	0	0	0	0	0	0	0
March3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
March4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
March5	1.304511042	3.921245889	2.22342255	0.604071324	4.931210275	1.372952098	5.027242536	5.536363792	1.23878686	4.110196178	4.155425432	0	2.192194165	6.29186137	1.941106311	4.8928767	3.791814071	2.201633861	3.040892431	2.935459748	0.748461233	1.952333566	2.713695815	3.904965719	1.641546029	7.312610723	1.15704371	2.713695815	286.74	1.495695163	3.840966704	3.63343121	211.71	6.630667565	3.631104282	3.204766751	0
March6	0	2.13422094	3.937344392	3.657640005	0	0	0	3.500802053	1.014355293	0	0	0	2.477677328	5.04701482	6.711357238	6.126601235	1.339137385	0	0	0	0	0	0	3.904965719	0.389566812	0	0	1.910732662	0	0	5.63197732	3.153805336	0	3.844988157	0	0	0
March7	0	6.995145287	0	0	3.463360886	0	0	0	0	0	2.584962501	0	0	0	0.286881148	5.667892125	2.757023247	0	3.782408565	0	0	0	0	0	0	0	6.86393845	0	0	0	0	4.418189948	0	0	0	0	0
March8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378511623	0.275007047	1.748461233	0	0	0	0	0	0	0	0	5.429615964	0	0	0	0	0	0	0	0	0	0
March9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
March10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
March11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sept1	0	6.474273788	0	3.025028794	6.853247167	3.617063344	0	0	0	0	0	0	0	0	2.742006211	3.952333566	4.597531174	6.420549772	5.973611276	5.988911865	6.069315495	6.727512087	0	4.71259578	3.014355293	0	0	1.372952098	0	0	0	0	0	5.212958363	0	0	0
Sept2	10.85873479	10.12853571	10.83221755	10.60551656	10.69004164	10.65201137	10.57966478	10.34059565	9.800058622	10.72094534	10.32219857	102.14	10.55909024	6.586164246	10.78152365	11.54472783	11.20925839	9.646090636	10.96354637	10.55161214	10.31779698	10.34941394	9.505374909	10.72775882	10.6775611	11.78971703	10.23898982	10.83692612	41.24	10.47937609	10.0807376	10.21995501	16.5	10.27518169	10.65804185	10.48447048	196.87
Sept3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sept4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.371558863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sept5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sept6	0	2.780310099	5.792334806	7.406587689	0.163498732	2.304511042	1.794935663	6.51364865	7.752280282	0	0	0	2.232660757	5.849498932	4.477029653	4.207892852	2.451540833	0	8.216939821	4.583158004	6.687200695	4.835924074	4.523561956	6.748058639	5.105175192	4.512226887	0	6.331633567	107.17	5.685659877	4.097610797	4.796493929	0	5.895060213	5.716442237	4.427606173	0
Sept7	9.651607847	9.852389056	7.452364806	7.824895114	8.427270935	6.85698569	7.054848477	8.987121868	7.491211756	7.270248599	6.321206567	70.61	8.20598869	5.147713722	8.317910009	8.242554873	7.659924558	4.789729251	8.182543333	8.38960983	5.847495884	8.348329809	4.188242656	7.259178313	7.283829194	8.942807706	4.044394119	7.746715848	8.74	7.312519967	6.92659251	8.928725623	20.95	8.080710953	8.879093079	7.200653436	0
Sept8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sept9	0	7.258141996	7.348374075	0	5.999549087	6.635609302	5.657068301	5.148527425	6.222650022	7.016251155	5.081510068	10.07	0	6.511910749	7.39068488	5.189429246	6.219749355	0	0	7.010108453	4.428946345	6.878112237	2.673556424	6.253043795	7.286141873	7.924515622	0	7.057125304	7.46	5.946262984	4.016139703	7.161887682	8.95	5.463033855	2.786596362	5.079378111	0
Sept10	0	0	0	0	1.485426827	0	0	0.389566812	0	0	0	0	0	0	0	6.974185117	0	0	1.970853654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.557042415	0	0	0
Sept11	9.936785145	7.305879347	7.787184297	7.642484978	5.447248569	5.000901403	7.468013034	8.523326715	7.263597849	2.321928095	6.301404738	0	6.855366853	4.04176865	6.999323578	0	8.362732874	6.73809226	5.975217457	0.23878686	8.200506315	0	7.860342097	7.638291094	6.78633498	0.432959407	0	0.722466024	4.34	6.515857501	0	6.826421372	0	7.070711322	7.004276656	1.263034406	0
Sept12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sept14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sep15	0	7.190318548	8.01664117	8.976535484	8.307701737	9.093074182	5.183883459	7.263973355	9.900202653	8.047069367	8.853715013	0	7.46760555	0	9.255288279	8.994070528	8.467687056	6.42609699	9.028845377	9.107347867	8.49589499	8.686640588	8.517000043	9.572794951	9.336595819	8.442694734	1.839959587	8.096293483	0	8.006017448	8.814870816	8.904243227	71.54	9.787004676	6.87541148	8.806324057	0
0610005C13Rik	0	0	0	0	0	0	0	0	0.757023247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.641546029	0
0610007P14Rik	0	8.975360779	8.475449727	5.251340383	0	7.882337361	4.978653265	4.348374075	7.474517164	0	7.490008474	0	8.356407951	0	7.854681413	4.926473911	7.483815777	8.378598321	6.618238656	8.512542955	0	3.82984956	0	8.089212109	8.913487841	0	4.999098034	0	0	3.547203025	0	8.559988839	0	6.780572574	8.616732615	7.543650538	0
0610009B22Rik	0	0	6.263410059	5.6622055	0	6.26734852	0	8.312202278	5.506525779	0	3.13093087	0	7.69432306	0	0	2.310340121	4.919340082	8.317050764	5.820944792	4.7382274	5.432625411	0	5.195741293	7.258047748	3.221877081	0	8.775972349	8.112283109	30.05	0	0	7.719320364	0	5.594249948	8.20662369	0.839959587	0
0610009L18Rik	0	0	0	0	0	0	0	0	0	3.204766751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.890446693	0	0	0	0	0	0	0	2.073820233	0
0610009O20Rik	0	4.983221651	4.495055528	6.233811384	4.406672716	3.650764559	0	0	6.007644031	0	2.140778656	0	0	2.13093087	0	3.659924558	3.733354341	5.876271361	0	4.052241981	4.209453366	0	0.378511623	6.921364918	0	0	1.811471031	6.544114402	230.13	0.659924558	0	4.69432306	0	6.565140169	5.880685525	0	0
0610010B08Rik	0	0	3.005399988	2.746312766	1.056583528	0.137503524	0	0	3.075532631	2.232660757	1.704871964	6.5	0	1.673556424	2.250961574	0	2.411426246	0.970853654	3.168321116	3.193771743	0	1.550900665	2.769771739	0	0	0	0.056583528	0	28.23	2.601696516	0.948600847	0.150559677	0	0.097610797	1.495695163	2.364572432	4.61
0610010F05Rik	0	0	0	0	1.150559677	0	6.840463234	0	2.307428525	3.944858446	3.372952098	85.58	0	0	5.121015401	2.572889668	6.566662963	0	0	0	4.04701482	0	0	0.584962501	5.04701482	7.717470799	0	7.220910322	2974.28	0	0	4.479618608	0	1.744161096	0.201633861	0	0
0610010K14Rik	0	5.404971224	6.817623258	3.854993017	3.810443104	8.460046273	7.373996142	7.543727859	2.060047384	0	6.773337048	0	7.56422572	0	5.713420885	7.793570797	5.30633516	7.447083226	3.070389328	4.369466484	7.614930648	0	0	6.540089282	7.947432389	6.388361768	0	7.489767697	0	6.543650538	5.966937979	5.072963272	0	7.026246773	6.431121473	0	0
0610011F06Rik	0	5.558573776	1.275007047	5.96208625	0	0.807354922	5.376081967	1.077242999	0	5.524815928	5.209063395	0	5.147306699	0	3.247927513	0	5.386466093	0	3.922197848	4.95930649	5.227278994	3.871843649	8.690102764	7.279749853	0	0	5.373300197	6.830229967	999.3	1.974529312	8.134580336	0	0	7.326069892	4.316869805	0	0
0610012G03Rik	0	0	6.009884589	4.294253136	0.485426827	0.464668267	4.471837762	3.684818738	1.344828497	2.935459748	0	0	4.541019153	0	1.843983844	6.39694722	0	1.835924074	3.253989266	0	1.941106311	4.918386234	0	2.801158656	0	0	0	4.567423758	0	0	5.083638879	1.726831217	0	0	0	6.557655155	0
0610030E20Rik	0	3.001802243	6.702380502	0.201633861	0.201633861	5.173127433	0.941106311	0.22650853	0.201633861	4.252476214	0.189033824	6.36	0.344828497	3.605257263	2.815575429	0	0	0.464668267	4.194559886	0	1.220329955	0	0	1.992768431	0.879705766	4.896756218	2.220329955	0	19.86	0	0.432959407	0	16.92	0.847996907	0.59454855	0	0
0610031J06Rik	0	0	6.38663853	6.028790136	6.023920649	6.092757141	4.196134881	6.840337339	5.493775408	3.64731451	8.147204925	0	6.323009711	1.232660757	5.631104282	0	6.475571321	6.171126747	5.16711703	5.678916987	7.447496547	5.591858905	8.454710552	0	7.974299858	0	0	6.428108883	0	6.600656308	0	8.459841417	0	4.102658131	7.258613142	8.250014115	0
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	0	1.339137385	8.350408844	0	4.147306699	7.846054473	1.948600847	4.257010618	0.97819563	7.64954361	4.424250286	0	4.66732447	3.846994687	6.667466405	6.116239979	5.260778432	0	5.627315001	2.691534165	0	0	6.926355303	8.001014038	5.086613947	0	0.584962501	4.687060688	87.36	6.469885976	5.275379596	3.195347598	17.38	0	4.555202634	2.788685711	0
0610038B21Rik	0	0	2.82984956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.008988783	0	0	0
0610039K10Rik	0	0	0	4.053111336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10433666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040B10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040J01Rik	0	0	0	0	0	3.260025656	0	0	0	0	0	0	1.910732662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610043K17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010001N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1100001G20Rik	0	0	0	0	0	0	0	0	0	0	9.01105949	0	0	0	0	0	0	0	0	0	0	0	0	0	6.140165135	0	0	0	0	0	0	0	0	3.917431755	0	5.738497644	0
1110001J03Rik	0	8.502632935	7.748461233	6.702934532	9.031494449	7.972118218	7.741399569	7.109465038	6.575917361	7.272303188	5.248686627	0	7.379898164	0	6.156437068	8.105960874	7.848685529	7.834407842	7.703280693	7.78959885	8.34881666	7.026689419	7.883804074	6.319401167	7.483976963	6.730775797	8.07451614	7.893544235	0	5.455491621	6.560256398	4.904484098	0	6.870734594	6.236875245	7.919220886	0
1110002L01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275007047	0	0	3.516015147	0	0	0	0	0	4.09423607	0	0	4.410069692	0	0	0	0	0	2.572889668	0	0	0
1110004E09Rik	0	0	0	4.653060017	1.028569152	0	0	6.509537504	0	6.192194165	0	0	2.153805336	5.081510068	6.206526016	5.991635216	7.068025839	7.236970886	0	7.724377422	6.909413105	0	5.583158004	5.928844037	0	0	0.757023247	6.181301365	0	0	5.108106224	3.607626221	0	4.942514505	0	5.212569339	0
1110004F10Rik	0.895302621	7.990330919	7.238118083	3.165107985	6.931564876	8.685519722	7.04220656	5.740657772	6.700994494	8.075532631	4.416164165	0	9.563539503	2.454175893	5.83491343	8.016863989	7.501757586	5.658497137	4.148934105	8.026246773	7.497612366	9.108289216	5.105594276	8.328271006	8.164655564	1.220329955	1.084064265	8.206037546	0	9.825531251	8.180207548	8.824990553	0	8.480628659	7.367633159	9.127065747	577.16
1110006O24Rik	0	0	0	0	0	0	0	0	3.09423607	0	2.010779839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110007C09Rik	9.094394437	1.384049807	3.033863452	4.522934561	4.3305584	5.53822774	6.372255648	0	0	2.198494154	0	0	0	0	0	3.29130886	3.584962501	0	3.396433531	0	0	5.107687869	0	2.784503983	4.125155131	0	0	0	0	1.570462931	0	0	0	6.922792504	0	0	0
1110008F13Rik	0	6.04176865	8.412654522	5.898450233	7.926533212	3.22650853	6.529508641	9.014996819	1.321928095	8.789696652	8.252097703	0	6.852623137	6.472325297	6.928370323	1.280956314	6.489446599	7.177917792	6.420549772	6.90050458	3.803227036	0	8.237640195	5.963474124	6.784896535	7.907551679	7.503428247	7.880256963	0	6.789468437	6.149137401	6.565749479	26.25	5.181897643	5.617357262	7.107374024	0
1110008L16Rik	0	5.789729251	0	1.891419187	0	7.513253856	0	0	0.545968369	1.895302621	0	0	5.161081482	0	3.702657543	0	0	0	0	0	1.070389328	0	0	7.787184297	0	0	0.310340121	6.177718511	0	7.24583789	0	0	0	5.485426827	0	3.897240426	0
1110008P14Rik	5.082787732	0	6.025471815	6.670443812	0	0	3.061776198	6.151777655	4.758622982	3.882643049	0	0	0	0	6.131754091	3.084064265	0	0	3.707082992	2.080657663	4.981396032	0	3.116031993	5.310340121	0	0	0	0	0	0	0	0	0	5.937815169	0	4.635173947	0
1110012L19Rik	0	6.897845456	0	0	7.06619685	0	0	0	0	0	0	0	0	0	0	7.12711735	0	0	1.459431619	0	0	0	0	0	0	4.196921734	0	0	0	0.782408565	0	0	0	0	0	0	0
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	0	0	0	0	0	0	0	0	0	5.09592442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110020A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	8.298291731	0	0	0	0	0	0	0	0	0	3.468583317	0	0	0	0	0	0	0	0	0	0	0	0	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	0	0	4.693765712	2.748461233	2.201633861	0	0	0	0	0	2.780310099	0	4.313245852	0	4.928370323	0	0	4.703765179	0	0	0	0	0.50589093	6.439623138	1.709290636	0.59454855	0	0	0	8.253752956	0.970853654	2.62058641	0	5.040892431	0	6.193180354	0
1110032F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110034G24Rik	0	0	0	0	0	0	0	0	0	0	0.565597176	20.51	0	0	7.134118239	0	0	0	0	0	0	0	0	0	7.421559945	0	0	0	30.8	0	4.868390453	0.659924558	0	5.056583528	0	0	0
1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	0	3.983677695	5.584962501	4.730639956	0.111031312	3.883620816	0	0	0	4.473137488	0	0	4.227278994	0	0	3.618238656	4.608217853	0	0.565597176	6.85785662	0	0	6.808127587	6.564987801	3.102658131	0	0.137503524	0	6.07	0.124328135	0.298658316	4.181897643	0	5.69543711	6.451211112	0	0
1110038B12Rik	0	8.853465514	0	7.792920407	5.997744026	7.508745554	7.675815931	8.839770675	8.106222673	8.239407589	6.716716592	0	3.042644337	8.452447178	8.339627348	8.495135498	8.181500152	0	8.043956873	8.119771162	8.92754095	7.765070569	8.807805694	8.559682997	7.330468767	0	6.46760555	8.40173285	0	6.48816149	4.377123749	6.14974712	1041.48	7.639015048	0	7.494895575	0
1110038F14Rik	0	0	0	2.173127433	0	6.058099988	6.082574866	4.83541884	5.023255352	0	2.817623258	0	0	0	0	1.244887059	2.957914599	0	2.13093087	4.750070486	7.030556792	6.379378367	0.773996325	7.845615497	7.286419145	5.601399391	0	4.545968369	0	4.393690764	4.578334949	0.847996907	0	6.06091205	3.489286023	2.56315813	0
1110046J04Rik	0	0.22650853	0	0	0	0	0	1.117695043	0	1.169925001	1.195347598	0	0	0	0.925999419	0	1.280956314	2.82984956	0	1.214124805	0	0	0	0	0	1.207892852	0	0	0	1.021479727	0	0	0	0	0.963474124	1.63691458	0
1110051M20Rik	0	6.794805731	0.613531653	0	0	0.35614381	7.722944111	6.829469052	7.454587187	0.526068812	0	0	0	0	3.822730148	0	6.752614804	0	4.695993813	0	7.083532513	0	0	0	7.390512926	0	0	2.397802962	0	0	0	5.504620392	0	0	0.411426246	0	0
1110054M08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.677508242	0	0
1110057K04Rik	0	7.882704179	7.96474517	7.122776238	0.516015147	4.272023189	0	0.176322773	0.632268215	0	6.543186525	0	7.047123912	1.339137385	5.086613947	0.310340121	7.884720013	0	4.005399988	3.98550043	7.621832103	0.659924558	0.650764559	5.651338766	2.028569152	3.153805336	3.192194165	0.713695815	33.38	4.895302621	3.321928095	0	0	7.823621998	1.176322773	7.45145841	0
1110058L19Rik	0	3.468583317	3.03562391	4.212569339	4.519793486	0	7.034523875	4.267535798	2.275007047	7.956347114	8.22144212	0	2.90303827	2.967168608	4.746312766	6.610434315	2.150559677	0	0	0	7.65978188	6.054197294	0	0	3.491853096	0	7.099295204	0	0	2.847996907	0	7.591559746	0	4.973611276	2.14404637	8.103602544	0
1110059E24Rik	0	0	0	5.224966365	0	0	8.006410239	6.496174702	6.527789752	4.159467729	6.768581342	0	7.442694734	1.298658316	2.765534746	3.97819563	0	0	0	0	0	0	6.669452026	0	7.443938115	0.722466024	6.351380981	0	0	0	3.420886575	7.174326515	0	6.780966198	0	2.084064265	0
1110059G10Rik	0	0	1.778208576	0	0.739848103	3.715893371	5.962780354	3.089159132	5.292413668	0	1.137503524	0	0	0	2.861955364	2.707082992	3.089159132	0	0	0	0	0	4.845490051	2.769771739	1.117695043	0	3.721372659	0.214124805	0	0	0	6.543341212	7.82	0	4.708739041	0.214124805	0
1110065P20Rik	0	0	0	0	5.383704292	0	0	0	0	0	0	0	0	0	0	1.028569152	0	0	0	0	5.169123281	0	0	0	0	0	0	1.799087306	0	0	0	0	0	0	0	0	0
1190002F15Rik	0	0	0	7.726967417	7.084170592	5.371907298	0	0	5.675251386	4.789207575	0	109.29	6.492654371	0	0	7.35411712	4.782932705	3.824767853	0	7.373909167	0	3.292781749	6.605109074	6.757556689	6.725877459	8.791846623	0	7.369902646	0	1.981852653	0	5.862451391	0	6.72955277	5.007195501	0	0
1190002N15Rik	0	0	0	3.27351589	0	0	0	0	0	0	0	0	0	0	0	0	1.678071905	0	0	4.341274184	0.773996325	2.419538892	0	0	0	0	0	0	0	0	0	0	0	4.444269502	0	0	0
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.191404729	0	0
1190007I07Rik	0	4.341274184	3.14404637	6.696132955	6.941106311	1.622930351	5.075960413	3.512226887	5.794415866	4.362469889	6.804905415	0	6.548590751	4.92314918	4.663344619	6.74819285	4.414135533	0	4.047887329	5.858727024	7.312882955	7.055933129	2.503348735	8.111292193	2.386810946	0	0	5.825531251	0	4.493134922	5.821455119	8.6109141	0	5.054414388	0	3.085764554	0
1200014J11Rik	1.906890596	3.198494154	4.59812696	2.427606173	5.17512535	0.879705766	1.956056652	1.220329955	2.438292852	0.887525271	6.657640005	0	6.932273817	3.908812908	3.377123749	1.769771739	4.256255873	1.66448284	4.882153917	1.555816155	2.017921908	2.957914599	1.475084883	4.229587923	2.244887059	6.218199944	2.263034406	0.847996907	23.3	2.010779839	0.855989697	1.752748591	110.19	6.618825953	4.929317595	4.926473911	74.38
1300002E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.403267722	0	0	0	0	0	0	0	0	0	0	0	0	0
1300002K09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1300017J02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500004A13Rik	0	0	0	0	0	4.272769732	0	0	0	0	0	24.45	2.983677695	0	0	0	0	0	5.606442228	0	0	0	0	0	0	0	0	0	0	0	0	7.488884504	0	0	0.765534746	0	0
1500009C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500009L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500011B03Rik	0	7.762481703	0	8.111344363	0	6.014132087	0	3.09592442	0	0	0	0	0	0	0	5.640100298	4.770300489	0.782408565	0	4.801676029	0	0	1.275007047	7.432959407	6.769507291	7.294620749	0	0	0	7.483493351	5.826548487	0	0	0	7.938521046	1.077242999	0
