Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM1721129,"Csf1r-negative GMP (Csf1r- control) Bulk RNA Seq CAG-14915","SRA","Mus musculus",1,GPL17021,GSE70235;GSE70245,"SRA Experiment","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX107/SRX1073974",SRX1073974,"H. Leighton Grimes","Aug 26, 2016"
GSM1721130,"Csf1r-negative GMP (Csf1r- control) Bulk RNA Seq 18Rosa-","SRA","Mus musculus",1,GPL17021,GSE70235;GSE70245,"SRA Experiment","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX107/SRX1073975",SRX1073975,"H. Leighton Grimes","Aug 26, 2016"
GSM1721131,"Csf1r-negative GMP ROSA-rtTA-M2-heterozygous G3-Gfi1-IRES-Venus-dim Bulk RNA Seq","SRA","Mus musculus",1,GPL17021,GSE70235;GSE70245,"SRA Experiment","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX107/SRX1073976",SRX1073976,"H. Leighton Grimes","Aug 26, 2016"
GSM1721132,"Csf1r-negative GMP ROSA-rtTA-M2-heterozygous G3-Gfi1-IRES-Venus-bright Bulk RNA Seq","SRA","Mus musculus",1,GPL17021,GSE70235;GSE70245,"SRA Experiment","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX107/SRX1073977",SRX1073977,"H. Leighton Grimes","Aug 26, 2016"
GSM1721133,"Csf1r-negative GMP ROSA-rtTA-M2-homozygous G3-Gfi1-IRES-Venus-bright Bulk RNA Seq","SRA","Mus musculus",1,GPL17021,GSE70235;GSE70245,"SRA Experiment","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX107/SRX1073978",SRX1073978,"H. Leighton Grimes","Aug 26, 2016"
GSM1721134,"Csf1r-positive GMP (Csf1r+ control) Bulk RNA Seq CAG-14914","SRA","Mus musculus",1,GPL17021,GSE70235;GSE70245,"SRA Experiment","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX107/SRX1073979",SRX1073979,"H. Leighton Grimes","Aug 26, 2016"
GSM1721135,"Csf1r-positive GMP (Csf1r+ control) Bulk RNA Seq 17Rosa-","SRA","Mus musculus",1,GPL17021,GSE70235;GSE70245,"SRA Experiment","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX107/SRX1073980",SRX1073980,"H. Leighton Grimes","Aug 26, 2016"
GSM1721136,"Csf1r-positive GMP ROSA-rtTA-M2-heterozygous G3-Gfi1-IRES-Venus-dim Bulk RNA Seq","SRA","Mus musculus",1,GPL17021,GSE70235;GSE70245,"SRA Experiment","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX107/SRX1073981",SRX1073981,"H. Leighton Grimes","Aug 26, 2016"
GSM1721137,"Csf1r-positive GMP ROSA-rtTA-M2-heterozygous G3-Gfi1-IRES-Venus-bright Bulk RNA Seq","SRA","Mus musculus",1,GPL17021,GSE70235;GSE70245,"SRA Experiment","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX107/SRX1073982",SRX1073982,"H. Leighton Grimes","Aug 26, 2016"
GSM1721138,"Csf1r-positive GMP ROSA-rtTA-M2-homozygous G3-Gfi1-IRES-Venus-bright Bulk RNA Seq","SRA","Mus musculus",1,GPL17021,GSE70235;GSE70245,"SRA Experiment","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX107/SRX1073983",SRX1073983,"H. Leighton Grimes","Aug 26, 2016"
